"id","message","contract_part","proposal_part_a","proposal_part_b","payed_at","contract_id","user_id","created_at","updated_at","id","name","email","wallet","birth_date","gender","location","category","show_fullname","accepted_terms","accepted_disclaimer","created_at","updated_at"
66,"1. The Buyer having accepted the goods entailed the Buyer acknowledging that the goods conform to what was agreed upon in Article 3.3., thus the goods are fit for the purpose
established by the Buyer in Article 3.4. Therefore, the Seller bears no liability once the goods have been accepted.
2. The seller argues that the buyer has nothing to prove that the defects existed at the time of delivery. The material defects were thus created by the Buyer after delivery.
3. Kirsche Publishing transferred ownership prior to the defects appearing.
4. The Seller sustains that all obligations arising from the contract have been complied with and that the buyer has no ground to sustain his arguments.
5. Evidence provided by the seller:
a. Copy of Email from DHL to the seller indicating successful delivery of the goods to the buyer, the buyer having signed for the items, dated 27/03/2020.
","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,100.000000000000000000,NULL,202,63,"2020-04-04 17:13:26","2020-04-04 17:13:26",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
67,NULL,"0xd9bf2E9f604a82cB366A47De50eb45ea86E8dd8a",0.000000000000000000,500.000000000000000000,NULL,204,NULL,"2020-04-06 15:44:29","2020-04-06 15:44:29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,"Upon signing on the 17th of March 2020, Ms. Emma Carter made
herself responsible for providing timely and periodic resolution proof regarding updates of the
services provided. The claimant has eagerly attempted to contact Ms.Emma Carter upon failure.
LHSG required an immediate response and swift diligent work to proceed with the transaction,
but due to lack of due diligence, Ms. Emma Carter has breached the contract, specifically Clause
4.2 &4.3. No documents have been found in the Google drive, resulting in failure to move
forward with the sale of ABC. As a remedy for lost time and money, due to the halting in the
transaction, LHSG demands damage or immediate compliance.
Claimant’s evidence: Screenshots of the empty Google drive after two weeks upon signing. Ms.
Emma Carter was aware of the urgency of her service but refused to provide her service in a
timely manner. Evidence with dates is provided. 
We propose to pay nothing to Emma Carter.","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",500.000000000000000000,0.000000000000000000,NULL,204,45,"2020-04-06 15:44:29","2020-04-06 15:44:29",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
69,"As no dates have been specified in the contract, “periodic” is
subjective and no claim can be made. Lack of communication was a result of a sudden exogenous
event that caused Ms. Emma Carter to delay her work. However, Ms. Carter has already started
the legal services and wishes to proceed if LHSG agrees.
Respondent’s evidence: The contract is lacking specification on the due date and specificity
regarding “periodic”. No financial remedy can thus take place, as LHSG did not provide specific
periodic times. I require full payment.
","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,500.000000000000000000,NULL,204,63,"2020-04-06 15:46:25","2020-04-06 15:46:25",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
70,NULL,"0xd9bf2E9f604a82cB366A47De50eb45ea86E8dd8a",0.000000000000000000,100.000000000000000000,NULL,205,NULL,"2020-04-07 12:15:17","2020-04-07 12:15:17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,"The claimant argues that they signed a contract for the delivery of the products within a
week from 07/03/2020- when the demand for these products was at its highest- to ensure they
had the necessary supplies to face the COVID-19 epidemic. Now, 98 days from the signing of
the contract, the epidemic is over. The claimant refuses to accept the products now as they no
longer need such a large amount. They believe the respondent caused them irreversible
economic damage because they were the only pharmacy in Segovia who did not have masks
and hand sanitizers at a time of high demand. This resulted in a massive loss of profit for them.
Due to the longevity of the waiting period, the claimant was under the impression that the
respondent would not fulfill their end of the contract.
The claimant believes that the long delay caused them irreversible and catastrophic
economic damage. The respondent did not deliver within six working days and was late enough
to give the impression they will never deliver. Consequently, the claimant believes that under
clause 9.4, the respondent is liable to pay a maximum of X JUR (6,200 EUR). This compensatory amount
corresponds to the profit they would have made from the sale of the products, had they arrived
at the expected time (between the 08/03/2020- 15/03/2020), as well as the amount they paid for
the products. The 20% discount is not enough to compensate them for the loss they incurred
and they do not need the products anymore. The escrow division proposal is to take back 100% of it.","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",100.000000000000000000,0.000000000000000000,NULL,205,45,"2020-04-07 12:15:17","2020-04-07 12:15:17",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
72,"The respondent states that the delay was out of their control. There were shortages on
the raw materials needed to make the masks and hand sanitizers, because the company that
produced them had shut down due to the COVID-19 outbreak. The respondent believes that the
shortage fulfills the Force Majeure clause 13.1, in regard to unforeseeable and uncontrollable
circumstances.
They believe the claimant should accept the products (since they fulfill all the
manufacturing clauses) and be given a 20% discount, as indicated under clause 9.2. If they do
not accept the order, they should compensate the respondent for the cost (including the taxes)
they incurred during the manufacturing process. Additionally, under Breach Of Contract, the
contract only refers to a 20% discount in case of delay (clause 9.2) and failure of delivery
(clause 9.1). Therefore, the claimant does not have the necessary ground to base their
arguments. Escrow division proposal is to accept 80% of the initial escrow.","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",20.000000000000000000,80.000000000000000000,NULL,205,63,"2020-04-07 12:15:46","2020-04-07 12:15:46",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
73,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,2500.000000000000000000,NULL,207,NULL,"2020-04-10 10:57:20","2020-04-10 10:57:20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,"On Monday the 16th of March at 19:00 pm the Test Kits were loaded on to a truck in Madrid and ready to be delivered to Calle San Facundo 3, Segovia, Segovia, 40001, Spain, Sweet Home Segovia ́s address. The driver, Juan Carlos, who has been employed by Mrs. Diaz for the past 3 years, was involved in a severe vehicle accident on his way to delivery. Luckily Mr Carlos did not suffer any physical injuries, three test kits, however, were completely destroyed and the other seven were partially damaged putting their reliability and accuracy into question. Mr Carlos, a former member of an AA group (Alcoholics Anonymous), was forced by the police at the accident scene to take a Breathalyzer test. The alcohol concentration in Mr Carlos ́blood was indeed higher than 0.5 milligrams of alcohol per millilitre of blood (the legal drinking limit in Spain). These same Covid 19 Test Kits were delivered to Sweet Home Segovia on the 18th of March, one day later than the date agreed upon in the contract, hence causing substantial losses to Sweet Home Segovia who had promised its leaseholders working Covid-19 test Kids by the 17th of March.

Sweet Home Segovia claims that Gema Beidas Diaz should be accounted responsible and therefore pay for all losses incurred by Sweet Home Segovia caused by the delay in the delivery as well as their lack of performance. Additionally, Sweet Home Segovia refuses to acquire the title to and risks the loss of the Goods as stated in clause 4.2 in the agreement signed by the two parties.
Claimant’s evidence: Sweet Home Segovia bases its argument on Juan Carlos ́ medical record which reveals his previous alcohol addiction and therefore proves that this incident was foreseeable and could have been avoided by the seller since Juan Carlos is employed by Mrs. Diaz. It is Mrs. Diaz ́s duty as an employer to know about Juan Carlos ́s medical condition considering they have worked together for the past three years. Therefore Sweet Home Segovia considers clause 4.2 to be invalid and is suing Gema Beidas Diaz for negligence.","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",1503.000000000000000000,997.000000000000000000,NULL,207,45,"2020-04-10 10:57:20","2020-04-10 10:57:20",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
75,"Gema Beidas Diaz claims that according to clause 4.4 she is not liable in any way possible for the losses inquired by Sweet Home Segovia since it is clearly stated that the seller will not be liable for any indirect damages. Further, she argues that Sweet Home Segovia is obliged to acquire the risk of loss of the Test Kits as clearly stated in clause 4.2 which does not leave room for any exception. Finally, she claims that it was impossible for her to be aware of Juan Carlos ́s medical condition since this would infringe his privacy right which is protected under Article 6 of the General Protection Data Regulation, implemented in the European Union on the 25th of May 2018. 

Respondent’s evidence: Contract clauses 4.2, 4.3, 4.4 and the General Protection Data Regulation (GDPR). Moreover, there could be a breach of Art. 1098 of the Spanish Civil Code
or Art. 1103 of the Spanish Civil Code..","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,2500.000000000000000000,NULL,207,63,"2020-04-10 10:58:16","2020-04-10 10:58:16",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
76,NULL,"0xd9bf2E9f604a82cB366A47De50eb45ea86E8dd8a",0.000000000000000000,500.000000000000000000,NULL,208,NULL,"2020-04-13 19:37:16","2020-04-13 19:37:16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,"Christopher Leaner did not comply with clause 5.2 (d). He should have informed us that the trash containers were going to be full such that we could have prevented it, on the contrary he deposited the extra trash out of the containers without notifying. This behaviour amounts an infringement of the contract and at the same time it provoked the municipality to sanction us. 
Geolocation indications are missing.
In light of the above, the overall quality is lower than the price paid, so we ask for a price reduction. The reduction also take into account the economic value of the fine.







","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",201.000000000000000000,299.000000000000000000,NULL,208,45,"2020-04-13 19:37:16","2020-04-13 19:37:16",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
78,"I agree in that the extra trash was placed outside of the containers. However, I was asked to clean the inside not the outside of the building, and that one Monday I found way more trash in the cans inside the building with respect to the usual. Since I never had problems any other week, I never took action according to clause 3.2d, which would have been calling the customer and notify to empty the containers. Last week, the level of the trash in the containers was not different from the usual, and I did not feel the urge to notify anything. Finally, I thought leaving the extra trash outside of the building complies better with the service specified in my contract, as opposed to leaving the extra trash inside the building.
Geolocation was asked but no actual way of sharing it was proposed and no phone number was shared in order to do it via mobile phone apps.
I therefore acknowledge that only not notifying immediately for the misplacement of the garbage was a mistake, but nothing else, and I would accept a fair reduction of the price for the service: 
95%.







","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",25.000000000000000000,475.000000000000000000,NULL,208,63,"2020-04-13 19:38:16","2020-04-13 19:38:16",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
79,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,500.000000000000000000,NULL,209,NULL,"2020-04-13 19:49:56","2020-04-13 19:49:56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,"According to clause 3.2 (c) I communicated, at the beginning of the 6th month, in written form that an improvement in terms of content was requested, as we did not reach 5 interactions per day (on the Facebook channel) as in accordance to clause 3.2 (a) iv, during the 5th month of the contract. 
In light of the above, I am asking for a fair reduction of the price, as now we do not have time left in the contract to adjust the trend.

","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",100.000000000000000000,400.000000000000000000,NULL,209,45,"2020-04-13 19:49:56","2020-04-13 19:49:56",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
81,"It is true that Borrel requested to improve the quality of the work. Therefore, I fixed the work, and I informed Borrel in written form during the 6th month about the fixes that I made, as requested under clause 4.4 of the contract. However, according to this same clause, Borrel was expected to re-evaluate the remedy provided by the me at the earliest opportunity and he was supposed to approve or reject the remedy in the same way I was informed about the rectification, hence in written form. I sent my communication in the agreed shared folder https://drive.google.com/drive/u/0/folders/1FjGCPZYCxidovuNRWKd0UIVKn6HhoYuE, but Borrel never replied. As the voters can see, there is no re-evaluation from Borrel here. So I reasonably assumed that Borrel was fine with my work. This behavior is not in good faith. It is clear to me that Borrel is using its silence as a sneaky way to reduce the price.
In light of the above, I want the full price
","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,500.000000000000000000,NULL,209,63,"2020-04-13 19:51:27","2020-04-13 19:51:27",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
